@81433  = ~试试来拿啊。谅你也不敢。~
@81434  = ~混蛋！这根本不可能，<PRO_RACE>！~ [OH81434]
@81435  = ~你想知道什么？~ [OH81435]
@81436  = ~你杀害那位女性是什么人？~
@81437  = ~你是怎么落到被困在德拉戈米尔的墓穴这种境地的？~
@81438  = ~这件披风对你有什么用？~
@81439  = ~她的名字叫克莱拉。是个无足轻重的人。在一家农场长大，到阿斯卡特拉来是想成为女演员。最终卖身度日直到被一个老盗贼同情而教了她这门手艺。她在这方面做得不差，当然。不是特别优秀，不过还算娴熟。~ [OH81439]
@81440  = ~拜你所赐，她再也不能使用那些手艺了。~
@81441  = ~一个可悲的故事，但是毫无新意—直到结尾，不管怎么说。她怎么突然就来服侍你了？~
@81442  = ~引人入胜。~
@81443  = ~有时候不得不做出些牺牲。~ [OH81443]
@81444  = ~你到底是什么样的人，就这么漫不经心地剥夺他人的生命？~
@81445  = ~特别是在牺牲得不是你的时候更实惠。~
@81446  = ~聪明的家伙。~
@81447  = ~邪恶的家伙。~
@81448  = ~我是什么样的人？我是幸存者，<CHARNAME>。恰如其分。~ [OH81448]
@81449  = ~你完全不知道我牺牲了什么，<PRO_RACE>。~ [OH81449]
@81450  = ~我只知道比克莱拉少。~
@81451  = ~那就向我说明一下。我洗耳恭听。~
@81452  = ~我也不关心。~
@81453  = ~荒谬！你最多就听进去百分之五。此刻，我的姐妹安贝尔，我告诉你，这家伙倒是有两只耳朵。都几乎可以用来打苍蝇。真不幸，他不是很在意卫生，是个老丑角。他的左耳已经被苍蝇以及接下来你懂的东西堵满了，嘭！这家伙耳洞里涌出来的都是蛆。现在，对许多人来说，这都会是个重大打击了吧，不过安贝尔绝不会吹毛求疵嫌弃作为礼物的幼虫牙口不好。幼虫有牙齿吗？肯定得有，对吧？要不它们用什么吃东西？~
@81454  = ~把你沾满血污的嘴闭上，侏儒。我受够了你的喋喋不休。~
@81455  = ~原本这应该是件简单的事。闯进坟墓，扯掉那位尊贵的客人的头盔，然后掉头就走。~ [OH81455]
@81456  = ~是谁让你做这件事？~
@81457  = ~易如反掌。~
@81458  = ~我看你已经拿到了德拉戈米尔的头盔，那让我们结束这项工作然后都离开这该死的地方吧。~
@81459  = ~事态的发展与预期不符。~
@81460  = ~看起来是这样，刚开始。~ [OH81460]
@81461  = ~想进来很简单，以我的方式说动伯里奇也没什么难的。我找到了宛若沉睡的德拉戈米尔的尸体。从他脑袋上摘下了头盔，然后从那一刻开始就彻底完了。我所不知道的是那头盔被诅咒了。德拉戈米尔并非沉睡—他是被束缚了，直到我拿掉他的头盔。当头盔被摘掉的瞬间，他发动了袭击。~ [OH81461]
@81462  = ~我将其归功于德拉戈米尔的头盔。它的力量远超那头老怪物所能想象。~ [OH81462]
@81463  = ~它能做到什么？~
@81464  = ~它让你可以控制他人？~
@81465  = ~听起来在这儿可以做笔交易。一个头盔换一件披风目测是笔公平的买卖。~
@81466  = ~开启损坏的门。让它的佩戴者在坟墓间穿行。有2个问题。首先，围绕着德拉戈米尔坟墓的守卫确保着那些门关闭。其次，那头盔束缚着它的佩戴者。~ [OH81466]
@81467  = ~这就是为什么你认为他在沉睡。你摘掉了那头盔然后他袭击了。~
@81468  = ~这…真是某种意义上的重大设计缺陷。~
@81469  = ~我很感兴趣。感兴趣到了打算放弃我的新披风的地步…如果你也放弃那头盔的话。~
@81470  = ~我没拿到那东西。~ [OH81470]
@81471  = ~不管怎么样。我以为德拉戈米尔在沉睡。摘掉了那头盔…~ [OH81471]
@81472  = ~于是他醒了过来然后转化了你。~
@81473  = ~我想我知道故事的后续了。~
@81474  = ~于是你为自己的疏忽付出了代价。~
@81475  = ~随后他把那头盔戴在我头上，使我一直被束缚。我想这应该是个恶毒的玩笑。~ [OH81475]
@81476  = ~我被转化之后，在我饥渴得无以复加的时候，他把那头盔戴在我头上，使我就算想用坟墓中孳生的虫子来充饥都不行。他所不知道的是那头盔还有其他特性。~ [OH81476]
@81477  = ~在多年之后我意识到自己脑海中的声音并非仅仅存在于我的脑海。当我集中注意力时，我能听到上面那些人的思想。在倾尽全力的情况下，我能够联系到那些与我的经历非常相似的人，并且在有的时候，引导他们。~ [OH81477]
@81478  = ~有多少？在我们最终找上你之前有多少人被你诱惑到这底下死去？~
@81479  = ~引导他们去死。~
@81480  = ~那头盔使你得以控制他人的思想？~
@81481  = ~几个。几十个。上百。有什么区别？~ [OH81481]
@81482  = ~只不过是那些和我相似的人。而且佩戴者脑袋上顶着那头盔无法移动。~ [OH81482]
