@56667  = ~我不干。~
@56668  = ~那么这个地方就会成为你的坟墓，就像我的坟墓一样。我的身体……那个东西不会死，你永远也逃不出去。只有血能够打开出路。这是芭荻的计划。~
@56669  = ~咒诅你！~
@56670  = ~拿一根木头，用木头来结束咒诅。狗头人的萨满有一根！他怕我。我……我的渴望迫使我以他的族人为食。~
@56671  = ~在疯狂之书附近有一个秘室。那个萨满在那个房间里敬拜那根木头。使用那根木头杀死我的身体，拿走血。~
@56672  = ~那些血是钥匙的一半！水晶是另外一部分！等你找到它们时，你就会知道。若是找不到它们，你就会死在这里。~
@56673  = ~去找那根木头！快！我里面的野兽在吞契我的灵魂！~
@56674  = ~它在你的本命当中搜寻着一处保护较不严密的角落，你察觉到其实你可以主动提供它想要的东西。它愿意以相当的代价赐予你力量，你愿意接受吗？~
@56675  = ~我不想警告你，但是小布真的在替你发愁耶。你还好吧？小布不常觉得害怕，除非遇上了狡猾奸诈的人。~
@56676  = ~我没事，只是有点恍神而已！~
@56677  = ~不需要担心，一切都在掌控之中！~
@56678  = ~我很好，明斯克。不用你管闲事！~
@56679  = ~如果你需要休息，我们可以停下来休息。我并不知道艾瑞尼卡斯做了什么，但是小布说是个重创，如果我们必须在此停留片刻，那么就由我来守卫吧。~
@56680  = ~那很不错。如果你需要休息，就由我来守卫。既然我不能阻止艾瑞尼卡斯，但这至少是我所能做到的。~
@56681  = ~这个小袋子很适合用来存放宝石。

数据资料：

重量：2~
@56682  = ~那么明斯克与小布要转移他们的注意力到更重要的事情上，例如活下去。如果你的头痛好了的话，我们还得赶路。~
@56683  = ~你还好吗，<CHARNAME>？你似乎有麻烦……失去了平衡。~
@56684  = ~我不确定，但是我想我还好。只是有一点晕。~
@56685  = ~没关系。我会没事的。~
@56686  = ~跟你无关，瑟恩。去种你的树。~
@56687  = ~这个地方很不自然。即使你没有经历过那些恐怖，如果我们没有遇到什么问题，我反而会感到惊讶。~
@56688  = ~有很大的关系。小心照顾你自己，你已经经历了很多事。~
@56689  = ~我会照你的希望，不来打扰你，但是我会仔细留心。不要忽视未来问题的症状，<CHARNAME>。~
@56690  = ~我已经尽力了。~
@56691  = ~我需要你带我进去。~
@56692  = ~很好。再见。~
@56693  = ~我会尽我所能地帮助你。~
@56694  = ~我需要你带我进去。~
@56695  = ~那就谢了。再见。~
@56696  = ~……呃，什么？~
@56697  = ~我只是以为你会想知道－－在我叫警卫！警卫！这里有叛徒！叛徒！叛徒！~
@56698  = ~到处都有人被杀死，而且战斗还一直在持续着，我可以听到声音。你到底走不走？再不走，难道要我丢下你吗？~
@56699  = ~也许战略路线会比较好。在栅栏北边的城堡墙上有一扇秘门。我……我经常使用它，因此我可以在不被人发现的情况下帮助别人。~
@56700  = ~到安全的地方去，戴尔森，并且让剩下来的人准备回来工作。等我们完成工作之后，这个地方需要全面的清扫。~
