// creator : C:\Users\Chelif\AppData\Local\NearInfinity\app\NearInfinity.jar (v2.4-20260111)
// game    : H:\SteamLibrary\steamapps\common\Baldur's Gate II Enhanced Edition
// dialog  : lang\en_US\dialog.tlk
// dialogF : (none)

@0      = ~<NO TEXT>~
@1      = ~No, I'm sorry, none of them sound familiar.~
@2      = ~You played Elminster?~
@3      = ~Uh, the yugoloth, was it? Yeah, you stole the show with that one, if I recall.~
@4      = ~And, who knows, we were rehearsing for Picoccio's "Three Days in the Ether." Perhaps we can give you a dress matinee.~
@5      = ~Oh, my dark ravens, let us stop our squawking. I shall remove this foul demeanor like a mask because, if you will still have me, I think I would quite enjoy the company of your troupe. ~
@6      = ~Then join us by all means. You are welcome here.~
@7      = ~Perhaps another time, Haer'Dalis. Your world seems rather strange to me... I'll have to think it over.~
@8      = ~Forget it. It's time I left here, and I suspect you should as well.~
@9      = ~If we can find it and return it to the playhouse, the reward offered by our Stagemistress, Raelis Shai, shall be yours. Come, then, let us search for it: Free money does not come often in the arts.~
@10     = ~So hopeful we shall meet again before too many days have passed. But enough talk—it is time this raven flies. ~
@11     = ~Your reward will be great and the fates, my blackbird of chaos, shall smile. But enough of artful prophecy: I must fly to my troupe, for no doubt they have missed my presence.~
@12     = ~Come, let me join you. Like all actors, I am an extrovert and even more so since my late confinement. There be little sense in rotting alone.~
@13     = ~Well, I have no intention of rotting together either, so you can take your one-man show elsewhere, I'm afraid.~
@14     = ~There be little sense in anything, these days. Come, then, let us leave this place of madness behind.~
@15     = ~If so, I will see to it that my mistress, Raelis Shai, rewards you generously. Then, at least, we might pick up our acquaintance under kinder circumstances.~
@16     = ~If we can retrieve it, Raelis Shai, my mistress at the Sigil playhouse, shall offer a fine reward for its safe delivery into her keeping. Let us hurry then, my raven.~
@17     = ~What you lack in poetry, you admittedly compensate for in logic... However, I do believe such terms of service shall suit me nicely. I am good with the sword, if you have a couple of spare ones handy...~
@18     = ~I've told you that I don't care a whit for your safety and you still want to join me?~
@19     = ~You're good with a blade? How good?~
@20     = ~It's a shame your sword arm is attached to your tongue... I'd take one but not the other. ~
@21     = ~Very well, we'll find you some swords. Welcome to the team, poet.~
@22     = ~You have your logic and I have mine, my hounds of rescue... and they are not so different. So... may I join you, then?~
@23     = ~Join, join, by all means join, for if we talk any longer, I fear my brain shall cramp.~
@24     = ~I want no part of your word games. Leave me here to sort out my senses. ~
@25     = ~I believe it to be in an altar here... if we retrieve it, she will reward us greatly for its return. Come, let us search this place before Mekrath's return.~
@26     = ~If you could only deliver it to me at the playhouse of the Sigil theater troupe, my mistress will reward you greatly for your efforts. So with apologies, my ravens of rhetoric, I must make my exit.~
@27     = ~If you can bring it to me at the playhouse of the Sigil theater troupe, perhaps all can be forgotten... The reward is yours to ponder.~
@28     = ~You can put your petty slave-and-master game away then, for I have played it against far better opponents than yourself.~
@29     = ~You should be a little more careful when addressing your master.~
@30     = ~~
@31     = ~If there's an opponent better than myself, I'd like to know his name.~
@32     = ~All right, all right, the game is up, but I'll still have you join me.~
@33     = ~Forget it, then. Begone from here and take your bravado with you.~
@34     = ~If you want to work together, aye, I'll work with you, but otherwise, begone...~
@35     = ~What "greater beings" are you talking about?~
@36     = ~Then work with me, but watch your back... I'll not have your sense of petty bravado bring about my ruin.~
@37     = ~Fine then, go. You have no sense of what you're missing, though.~
@38     = ~Come, then. This "ant" has little desire to make an argument of this.~
@39     = ~Aye, for you, I do not doubt that life is easy... but it is easy by your ignorance, not your power... So, ant: Take me now or leave me here. It's all the same to me.~
@40     = ~Come with me, then. I have little time for all this chatter.~
@41     = ~All right, Haer'Dalis. Join me in whichever fashion you see fit, but, slave or free, we travel together nonetheless.~
@42     = ~Then rot here and have your freedom. I can see now why Mekrath was so willing to part with your company.~
@43     = ~I will see to it that my mistress provides you with a greater reward than you deserve. Until then, dear ant, I pray beware the elephant...~
@44     = ~The fool Mekrath stole from me a most important gem... and if memory serves, it is in an altar here. My mistress and I shall be far more pleasant if you bore it to us in your hands.~
@45     = ~Wherever you may take me, friend, and whoever you may be, you will never be his equal or play the game as well as he.~
@46     = ~Your experiences are far from ordinary, Haer'Dalis, and I admit I am intrigued... Perhaps you hold more value to me as a comrade than as a slave. My apologies for my previous demeanor.~
@47     = ~~
@48     = ~Perhaps I have been harsh in my treatment of you, then. Join with me, if you will, but as a comrade.~
@49     = ~A well-rehearsed lie sung by an actor. Come, slave... I've no patience for all this foolishness.~
@50     = ~Fine, fine. I suppose it's best just to have nothing to do with you at all. Begone from my sight.~
@51     = ~Aye, but when the guards be gone, we birds and bards have certain means at our disposal. So, unless you care to stay here for the rest of all eternity, I'm afraid you cannot hold me to this place.~
@52     = ~If escaping is so easy, why did you not escape from Mekrath?~
@53     = ~Very well then, go. I'll have nothing more to do with you.~
@54     = ~I might not be able to keep you here, but I can certainly take you with me.~
