@12561  = ~~ [MINER06]
@12562  = ~~ [SLAVE05]
@12563  = ~~ [SLAVE06]
@12564  = ~~ [MONKS05]
@12565  = ~~ [MONKS06]
@12566  = ~~ [MTOWN05]
@12567  = ~~ [MTOWN06]
@12568  = ~~ [FTOWN05]
@12569  = ~~ [FTOWN06]
@12570  = ~~ [DWARF05]
@12571  = ~~ [DWARF06]
@12572  = ~~ [FARME05]
@12573  = ~~ [FARME06]
@12574  = ~~ [PERFO05]
@12575  = ~~ [PERFO06]
@12576  = ~~ [DRUID05]
@12577  = ~~ [DRUID06]
@12578  = ~~ [FESTH05]
@12579  = ~~ [FESTH06]
@12580  = ~~ [HALFL05]
@12581  = ~~ [HALFL06]
@12582  = ~~ [GNOME05]
@12583  = ~~ [GNOME06]
@12584  = ~~ [DWARF05]
@12585  = ~~ [DWARF06]
@12586  = ~~ [ELFFF05]
@12587  = ~~ [ELFFF06]
@12588  = ~~ [BARTN05]
@12589  = ~~ [BARTN06]
@12590  = ~~ [INNKE05]
@12591  = ~~ [INNKE06]
@12592  = ~~ [BANDT05]
@12593  = ~~ [BANDT06]
@12594  = ~~ [MERCH05]
@12595  = ~~ [MERCH06]
@12596  = ~~ [GUARR05]
@12597  = ~~ [GUARR06]
@12598  = ~~ [DRUNK05]
@12599  = ~~ [DRUNK06]
@12600  = ~~
@12601  = ~~
@12602  = ~~ [HELMP05]
@12603  = ~~ [HELMP06]
@12604  = ~~ [GONDP05]
@12605  = ~~ [GONDP06]
@12606  = ~~ [OGHMA05]
@12607  = ~~ [OGHMA06]
@12608  = ~~ [READR05]
@12609  = ~~ [READR06]
@12610  = ~~ [FLAMN05]
@12611  = ~~ [FLAMN06]
@12612  = ~~
@12613  = ~~ [GAMES05]
@12614  = ~~ [GAMES06]
@12615  = ~You are a slave? Ha ha ha! Obviously, I have nothing to worry about!~
@12616  = ~Better a slave than a slave's dinner, as you shall find out quickly enough!~
@12617  = ~How is it that you came to be imprisoned here, vampire? ~
@12618  = ~Indeed, Irenicus is powerful. I would kill him if I could, for he feeds me nothing but scraps and corpses. Come, mortal, and let me feast upon the fresh blood of the living!~
@12619  = ~Mira~
@12620  = ~Ah! Surely you cannot be my captors, come to torment an old man within his glass prison! You look like none others I have seen here.~ [SLAVE04]
