@37540  = ~I would like you to join us again, Haer'Dalis.《我希望你再加入我們，海爾達利。》~
@37541  = ~I'm sorry for what happened before... will you join me again, Haer'Dalis?《我對先前的事情感到很抱歉……你願意再加入我嗎，海爾達利？》~
@37542  = ~No, just saying hello.《不，只是來打聲招呼。》~
@37543  = ~I need your help, Haer'Dalis.《我需要你的協助，海爾達利。》~
@37544  = ~Aye... the raven and the sparrow together! It will be good to voyage with you, <CHARNAME>!《啊……烏鴉與麻雀比翼齊飛！這將是一場豐富的旅程，<CHARNAME>！》~
@37545  = ~Aye, but 'tis always such. Nay, I have other things more pleasant than traveling with one such as you. Find another, my raven.《唉咿，可惜總是如此。不，我有比跟你這種人旅行更有趣的事情。去找別的對象吧，我的烏鴉。》~
@37546  = ~Mmmm... very well, <CHARNAME>. Let it not be said that this actor has no heart. I can forgive... and besides, it is exciting to voyage with you. Let us go, then, my raven!《嗯……很好，<CHARNAME>，別說這戲子沒有愛心。我可以原諒……而且，跟你旅行也充滿了刺激。那就出發吧，我的烏鴉！》~
@37547  = ~Aye, and greetings to you too. I have business to attend to, however... and I suspect so do you. 'Til we meet again, my raven.《唉咿，那我也向你問聲好。但我有其他的事要辦……我想你也是。下回再見啦，我的烏鴉。》~
@37548  = ~I paid Travin 400 gold to find you, so you damn well better talk to me.《我付了特拉文400枚金幣才找到你，你最好給我乖乖地跟我談一談。》~
@37549  = ~Well, I'm sorry to have to tell you, but you've been ripped off. He's just an errand boy, and you paid him gold he wasn't due. My fee is derived directly from the church, not some back-alley hand-off.《好吧，很抱歉我得這麼說，但你被他敲竹貢了。他只是個跑腿的小弟，你根本不需要付錢給他。我的費用直接來自教會，不是什麼街上的小角色。》~
@37550  = ~So... the rescuers of our beloved Haer'Dalis have come to us at last. Haer'Dalis has preceded you and spoken of you well. Here is a reward for his return.《所以……海爾達利的拯救者回來了。海爾達利已經告訴我一切，這是你的酬勞。》~ [RAELIS13]
@37551  = ~Now... do you have the gem he spoke of, child? The portal gem that Mekrath had in his keeping?《你拿到寶石了嗎？梅克拉斯拿走的那個時空門寶石？》~
@37552  = ~No, I don't... but I intend on getting it.《不，還沒……我正要去拿。》~
@37553  = ~Perhaps... how much is the stone worth to you?《也許……這寶石值你多少錢？》~
@37554  = ~I do. Here you go.《是的，在這裡。》~
@37555  = ~Then his soul is surely to be doomed for cheating a servant of the church.《膽敢欺騙神殿的代表，他的靈魂一定會下地獄。》~
@37556  = ~I shall rend him limb from limb! He will not even live to regret cheating me!《我要把他大卸八塊！讓他連活著後悔的機會都沒有！》~
@37557  = ~Curse me for a fool. I was told of no fee, so I should not have paid it.《我真是該死的笨蛋。他們說我不需要付錢，我實在不應該把錢交給他。》~
@37558  = ~Yes, well, regrets to be dealt with another day. You say you have come to take delivery of something? 《好吧，後不後悔的問題改天再說。你說你是要來拿什麼東西來著？》~
@37559  = ~That would be the Dawn Ring, would it not? I shall be glad to be rid of it. I have felt the eyes of the celestial upon me each and every minute I have had it. Just one more simple test before you go.《那應該就是曙光之戒，對不對？我很樂意趕快將它脫手。只要這東西在我手上，每一分鐘我都覺得好像天上有隻眼睛在看著我。不過在你走之前，我還得先做個簡單的測試。》~
@37560  = ~I do not have time for games!《我沒時間和你玩遊戲！》~
@37561  = ~What is your request?《你要做什麼？》~
@37562  = ~Can we dispense with this? I am expected back.《可以免掉這麻煩嗎？我得要回去報告了。》~
@37563  = ~This will only be but a moment. I must be sure I am giving it to the proper person; when dealing with Talassans, a mistake would be the death of me. It is a simple matter, really. Swear your devotion to Talos.《只要一下下就好。我得搞清楚我到底有沒有把東西交對人；和塔洛斯信徒打交道，出了差錯就得陪上我自己的性命。這真的很簡單，我只要你發誓對塔洛斯的效忠。》~
@37564  = ~What game is this? Why would you ask me this?《這是什麼把戲？為什麼要我這麼做？》~
@37565  = ~And what would you gain by my refusal?《如果我拒絕，對你又有什麼好處？》~
@37566  = ~Why do you ask such a thing?《你為什麼要做這種要求？》~
@37567  = ~It is a simple matter, really. I am to deliver this to a servant of Talos. If you are said servant, you will not balk at declaring your allegiance; you would most likely revel in it.《這只是一件簡單的事情，真的。我必須要把這個交給一位塔洛斯的僕人。如果你就是那位僕人，你應當不會反對大聲宣示你的忠誠；甚至反而會很興奮。》~
@37568  = ~You have returned, my brilliant hound. Have you brought the gem with you?《你回來了，聰明的獵犬？你拿到寶石了嗎？》~ [RAELIS14]
@37569  = ~But if you are NOT a follower of Talos, you will not swear to him even in jest. To do so would be to deny your own faith, or even worse, to bring the attention of Talos upon you.《但如果你不是塔洛斯的信徒，即使是開玩笑你也不會向他宣示效忠。這麼做等於否認你自己的信仰，或者更慘，甚至會引來塔洛斯的神怒。》~
@37570  = ~We... we still do not have it, Miss Raelis, try though I might to convince my raven of its import. I shall endeavor to speed the process, if you will it.《我們……我們還沒拿到它，瑞莉絲小姐，不過我已盡力告知我的烏鴉它的重要性。只要你開口，我會加倍努力將它取回。》~
@37571  = ~Teos《泰奧斯》~
@37572  = ~Teos《泰奧斯》~
@37573  = ~Robe of the Apprenti《學徒長袍》~
@37574  = ~Dagger of <CHARNAME>《<CHARNAME>的匕首》~
@37575  = ~So I ask you. Are you currently in service to Talos? Are you loyal to him and him alone? And may he strike you down if you are lying. 《所以我要問你。你目前正在為塔洛斯服務嗎？你對他忠心，而且只對他忠心嗎？如果你說謊，願他降下神怒處罰你。》~
@37576  = ~I assure you that I am a servant of Talos in this matter. May he strike me down if I am lying.《我向你保證，在這件事情裡我確實是塔洛斯的僕人。如果我有說謊，願他降下神怒處罰我。》~
@37577  = ~I assure you that I am a servant of Talos in this matter. May he strike me down if I am lying.《我向你保證，在這件事情裡我確實是塔洛斯的僕人。如果我有說謊，願他降下神怒處罰我。》~
@37578  = ~I cannot speak the words you wish to hear.《我不能說出你想聽的話。》~
@37579  = ~Feel the avenging wrath of a servant of the Morninglord! This charade stops here!《接受晨曦之主僕人的復仇怒火！這場遊戲結束了！》~
@37580  = ~Very well. You have satisfied me. Here is your ring, and good riddance to it. I've felt watched ever since I received it. Good day to you.《很好。你的證明讓我很滿意。這就是你要的戒指，趕緊拿去。自從我拿到它之後一直有被監看的感覺。祝你愉快。》~
@37581  = ~Then you will not have the item. Leave me. 《那我便不能把東西交給你。請你離開。》~
@37582  = ~I beg of you, give me the item anyway. I must return it.《我求求你，還是把東西交給我。我一定要送回它。》~
